period,China_export_value_usd,China_import_value_usd,India (excludes Sikkim until 1975)_export_value_usd,India (excludes Sikkim until 1975)_import_value_usd,"USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_value_usd","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_value_usd"
1962-1971,3.339604795,3.628433164,3.960592909,3.55411618,26.068658152,49.234975767
1972-1991,60.405829378,84.458924808,74.342870246,50.893771594,777.275933682,812.032929776
1992-2008,1154.578891192,1382.519456437,522.75417553,407.854737582,2705.449894454,2162.243539472
2009-2018,4454.082482761,4803.030668906,1935.058293527,1298.581725049,2869.222379464,2768.275814732
